Individual	Population	latitude	longitude	
Deng97458	Deng9745	31.46795397	97.19849297	
Deng97459	Deng9745	31.46795397	97.19849297	
Deng974510	Deng9745	31.46795397	97.19849297	
Deng97721	Deng9772	31.6509513	98.3830599	
Deng97722	Deng9772	31.6509513	98.3830599	
Deng97723	Deng9772	31.6509513	98.3830599	
Deng97724	Deng9772	31.6509513	98.3830599	
Deng97725	Deng9772	31.6509513	98.3830599	
Deng97726	Deng9772	31.6509513	98.3830599	
Deng97727	Deng9772	31.6509513	98.3830599	
Deng97728	Deng9772	31.6509513	98.3830599	
Deng97831	Deng9783	31.86857728	99.09088336	
Deng97832	Deng9783	31.86857728	99.09088336	
Deng97833	Deng9783	31.86857728	99.09088336	
Deng97834	Deng9783	31.86857728	99.09088336	
Deng97835	Deng9783	31.86857728	99.09088336	
Deng97836	Deng9783	31.86857728	99.09088336	
Deng97837	Deng9783	31.86857728	99.09088336	
Deng97838	Deng9783	31.86857728	99.09088336	
Deng97839	Deng9783	31.86857728	99.09088336	
Deng978310	Deng9783	31.86857728	99.09088336	
Deng98101	Deng9810	30.45961128	100.3021856	
Deng98102	Deng9810	30.45961128	100.3021856	
Deng98103	Deng9810	30.45961128	100.3021856	
Deng98104	Deng9810	30.45961128	100.3021856	
Deng98105	Deng9810	30.45961128	100.3021856	
Deng98131	Deng9813	30.36220142	100.2947579	
Deng98132	Deng9813	30.36220142	100.2947579	
Deng98133	Deng9813	30.36220142	100.2947579	
Deng98134	Deng9813	30.36220142	100.2947579	
Deng98135	Deng9813	30.36220142	100.2947579	
Deng98136	Deng9813	30.36220142	100.2947579	
Deng98137	Deng9813	30.36220142	100.2947579	
Deng98138	Deng9813	30.36220142	100.2947579	
Deng95252	Deng9525	30.04246	101.234481	
Deng95253	Deng9525	30.04246	101.234481	
Deng95254	Deng9525	30.04246	101.234481	
Deng95255	Deng9525	30.04246	101.234481	
Deng95256	Deng9525	30.04246	101.234481	
Deng95257	Deng9525	30.04246	101.234481	
Deng95258	Deng9525	30.04246	101.234481	
Deng95283	Deng9528	30.042496	101.234505	
Deng95284	Deng9528	30.042496	101.234505	
Deng95285	Deng9528	30.042496	101.234505	
Deng95331	Deng9533	30.088187	101.005551	
Deng95332	Deng9533	30.088187	101.005551	
Deng95333	Deng9533	30.088187	101.005551	
Deng95334	Deng9533	30.088187	101.005551	
Deng95335	Deng9533	30.088187	101.005551	
Deng95336	Deng9533	30.088187	101.005551	
Deng95337	Deng9533	30.088187	101.005551	
Deng95338	Deng9533	30.088187	101.005551	
Chen00161	Chen0016	29.9370083	97.4417685	
Chen00162	Chen0016	29.9370083	97.4417685	
Chen00163	Chen0016	29.9370083	97.4417685	
Chen00164	Chen0016	29.9370083	97.4417685	
Chen00165	Chen0016	29.9370083	97.4417685	
Chen00166	Chen0016	29.9370083	97.4417685	
Chen00167	Chen0016	29.9370083	97.4417685	
Chen00168	Chen0016	29.9370083	97.4417685	
ZYZhouu1	ZYZhouu	29.7158162	98.4716319	
ZYZhouu2	ZYZhouu	29.7158162	98.4716319	
ZYZhouu3	ZYZhouu	29.7158162	98.4716319	
ZYZhouu4	ZYZhouu	29.7158162	98.4716319	
ZYZhouu5	ZYZhouu	29.7158162	98.4716319	
ZYZhouu6	ZYZhouu	29.7158162	98.4716319	
ZYZhouu7	ZYZhouu	29.7158162	98.4716319	
ZYZhouu8	ZYZhouu	29.7158162	98.4716319	
ZYZhouu9	ZYZhouu	29.7158162	98.4716319	
ZYZhouu10	ZYZhouu	29.7158162	98.4716319	
ZYZhouu11	ZYZhouu	29.7158162	98.4716319	
ZYZhouu12	ZYZhouu	29.7158162	98.4716319	
Deng95241	Deng9524	30.078359	101.628781	
Deng95242	Deng9524	30.078359	101.628781	
Deng95244	Deng9524	30.078359	101.628781	
Deng95246	Deng9524	30.078359	101.628781	
Deng95247	Deng9524	30.078359	101.628781	
Deng95248	Deng9524	30.078359	101.628781	
Deng952410	Deng9524	30.078359	101.628781	
Deng95351	Deng9535	29.679238	101.425555	
Deng95352	Deng9535	29.679238	101.425555	
Deng95353	Deng9535	29.679238	101.425555	
Deng95354	Deng9535	29.679238	101.425555	
Deng95355	Deng9535	29.679238	101.425555	
Deng95356	Deng9535	29.679238	101.425555	
Deng97151	Deng9715	29.802221	98.533424	
Deng97152	Deng9715	29.802221	98.533424	
Deng97153	Deng9715	29.802221	98.533424	
Deng97154	Deng9715	29.802221	98.533424	
Deng97155	Deng9715	29.802221	98.533424	
Deng97156	Deng9715	29.802221	98.533424	
Deng97157	Deng9715	29.802221	98.533424	
Deng97158	Deng9715	29.802221	98.533424	
Deng97031	Deng9703	29.727178	98.629542	
Deng97034	Deng9703	29.727178	98.629542	
Deng97036	Deng9703	29.727178	98.629542	
Deng97037	Deng9703	29.727178	98.629542	
Deng97038	Deng9703	29.727178	98.629542	
Deng98471	Deng9847	29.28524897	100.079947	
Deng98472	Deng9847	29.28524897	100.079947	
Deng98473	Deng9847	29.28524897	100.079947	
Deng98474	Deng9847	29.28524897	100.079947	
Deng98475	Deng9847	29.28524897	100.079947	
Deng98476	Deng9847	29.28524897	100.079947	
Deng98477	Deng9847	29.28524897	100.079947	
Deng98479	Deng9847	29.28524897	100.079947	
Niuma0031	Niuma003	27.6864822	101.222591	
Niuma0032	Niuma003	27.6864822	101.222591	
Niuma0034	Niuma003	27.6864822	101.222591	
Chen00091	Chen0009	27.58815	99.79122222	
Chen00093	Chen0009	27.58815	99.79122222	
Chen00094	Chen0009	27.58815	99.79122222	
Chen00095	Chen0009	27.58815	99.79122222	
Chen00096	Chen0009	27.58815	99.79122222	
Chen00097	Chen0009	27.58815	99.79122222	
Chen00098	Chen0009	27.58815	99.79122222	
Chen00099	Chen0009	27.58815	99.79122222	
Chen000910	Chen0009	27.58815	99.79122222	
Chen00151	Chen0015	27.15355833	100.25715	
Chen00152	Chen0015	27.15355833	100.25715	
Chen00153	Chen0015	27.15355833	100.25715	
Chen00154	Chen0015	27.15355833	100.25715	
Chen00155	Chen0015	27.15355833	100.25715	
Chen00156	Chen0015	27.15355833	100.25715	
Chen00157	Chen0015	27.15355833	100.25715	
Chen00158	Chen0015	27.15355833	100.25715	
Chen00159	Chen0015	27.15355833	100.25715	
Chen001510	Chen0015	27.15355833	100.25715	
Deng89391	Deng8939	26.68134391	99.9229596	
Deng89392	Deng8939	26.68134391	99.9229596	
Deng89393	Deng8939	26.68134391	99.9229596	
Deng89394	Deng8939	26.68134391	99.9229596	
Deng89395	Deng8939	26.68134391	99.9229596	
Deng89396	Deng8939	26.68134391	99.9229596	
Deng89397	Deng8939	26.68134391	99.9229596	
Deng89398	Deng8939	26.68134391	99.9229596	
Deng89399	Deng8939	26.68134391	99.9229596	
Deng893910	Deng8939	26.68134391	99.9229596	
Deng89991	Deng8999	27.13598	99.2868769	
Deng89992	Deng8999	27.13598	99.2868769	
Deng89993	Deng8999	27.13598	99.2868769	
Deng89994	Deng8999	27.13598	99.2868769	
Deng89995	Deng8999	27.13598	99.2868769	
Deng89996	Deng8999	27.13598	99.2868769	
Deng89997	Deng8999	27.13598	99.2868769	
Deng89998	Deng8999	27.13598	99.2868769	
Deng89999	Deng8999	27.13598	99.2868769	
Deng899910	Deng8999	27.13598	99.2868769	
Deng90401	Deng9040	26.45638716	99.49757664	
Deng90402	Deng9040	26.45638716	99.49757664	
Deng90403	Deng9040	26.45638716	99.49757664	
Deng90404	Deng9040	26.45638716	99.49757664	
Deng90405	Deng9040	26.45638716	99.49757664	
Deng90406	Deng9040	26.45638716	99.49757664	
Deng90407	Deng9040	26.45638716	99.49757664	
Deng90408	Deng9040	26.45638716	99.49757664	
Deng90409	Deng9040	26.45638716	99.49757664	
Deng904010	Deng9040	26.45638716	99.49757664	
Deng91271	Deng9127	25.8565136	99.2675263	
Deng91272	Deng9127	25.8565136	99.2675263	
Deng91273	Deng9127	25.8565136	99.2675263	
Deng91274	Deng9127	25.8565136	99.2675263	
Deng91275	Deng9127	25.8565136	99.2675263	
Deng91276	Deng9127	25.8565136	99.2675263	
Deng91277	Deng9127	25.8565136	99.2675263	
Deng95691	Deng9569	27.066915	100.263225	
Deng95692	Deng9569	27.066915	100.263225	
Deng95693	Deng9569	27.066915	100.263225	
Deng95694	Deng9569	27.066915	100.263225	
Deng95695	Deng9569	27.066915	100.263225	
Deng95696	Deng9569	27.066915	100.263225	
Deng95698	Deng9569	27.066915	100.263225	
Deng96011	Deng9601	27.488306	99.805158	
Deng96012	Deng9601	27.488306	99.805158	
Deng96013	Deng9601	27.488306	99.805158	
Deng96017	Deng9601	27.488306	99.805158	
Deng96018	Deng9601	27.488306	99.805158
